长春,{'2007':,2901,'2008':,3387.666667,'2009':,3562.333333,'2010':,4787.416667,'2011':,6162.833333,'2012':,6285.833333,'2013':,6761.5,'2014':,6952.416667,'2015':,6691.916667,'2016':,6510.166667,'2017':,7040.416666666667}
,,,,,,,,,,,,,,,,,,,,,,
长沙,{'2007':,3522.833333,'2008':,4108.333333,'2009':,4369.833333,'2010':,5509.25,'2011':,6572.666667,'2012':,6488.916667,'2013':,6492.75,'2014':,6411.833333,'2015':,6356.333333,'2016':,6812.166667,'2017':,9323.0}
,,,,,,,,,,,,,,,,,,,,,,
广州,{'2007':,6617.916667,'2008':,7455.666667,'2009':,8677.666667,'2010':,11534.91667,'2011':,14605.58333,'2012':,15472.16667,'2013':,18163.91667,'2014':,18757.16667,'2015':,19711.5,'2016':,21163.5,'2017':,28498.75}
,,,,,,,,,,,,,,,,,,,,,,
济南,{'2007':,4331.25,'2008':,5377.666667,'2009':,5716.833333,'2010':,7476.166667,'2011':,8547.916667,'2012':,8299,'2013':,9160.25,'2014':,10030,'2015':,9836.5,'2016':,11293.41667,'2017':,16303.083333333334}
,,,,,,,,,,,,,,,,,,,,,,
南昌,{'2007':,5014.916667,'2008':,5098,'2009':,5086.416667,'2010':,6028.583333,'2011':,7488.5,'2012':,8021.25,'2013':,8848.083333,'2014':,9095.333333,'2015':,8973.25,'2016':,9260,'2017':,10313.0}
,,,,,,,,,,,,,,,,,,,,,,
天津,{'2007':,7230.75,'2008':,[],'2009':,[],'2010':,[],'2011':,[],'2012':,[],'2013':,[],'2014':,[],'2015':,[],'2016':,[],'2017':,[]}
,,,,,,,,,,,,,,,,,,,,,,
西安,{'2007':,3122,'2008':,[],'2009':,[],'2010':,[],'2011':,[],'2012':,[],'2013':,[],'2014':,[],'2015':,[],'2016':,[],'2017':,[]}
,,,,,,,,,,,,,,,,,,,,,,
香港,{'2007':,[],'2008':,[],'2009':,[],'2010':,[],'2011':,[],'2012':,[],'2013':,[],'2014':,[],'2015':,[],'2016':,[],'2017':,[]}
,,,,,,,,,,,,,,,,,,,,,,
澳门,{'2007':,[],'2008':,[],'2009':,[],'2010':,[],'2011':,[],'2012':,[],'2013':,[],'2014':,[],'2015':,[],'2016':,[],'2017':,[]}
,,,,,,,,,,,,,,,,,,,,,,
